,Sentence,Label
0,way plug us unless go converter,0
1,good case excellent value,1
2,great jawbone,1
3,tied charger conversations lasting 45 minutes major problems,0
4,mic great,1
5,jiggle plug get line right get decent volume,0
6,several dozen several hundred contacts imagine fun sending one one,0
7,razr owner must,1
8,needless say wasted money,0
9,waste money time,0
10,sound quality great,1
11,impressed going original battery extended battery,1
12,two seperated mere 5 ft started notice excessive static garbled sound headset,0
13,good quality though,1
14,design odd ear clip comfortable,0
15,highly recommend one blue tooth phone,1
16,advise everyone fooled,0
17,far good,1
18,works great,1
19,clicks place way makes wonder long mechanism would last,0
20,went motorola website followed directions could get pair,0
21,bought use kindle fire absolutely loved,1
22,commercials misleading,0
23,yet run new battery two bars three days without charging,1
24,bought mother problem battery,0
25,great pocket pc phone combination,1
26,owned phone 7 months say best mobile phone,1
27,think instructions provided helpful,0
28,people couldnt hear talk pull earphone talk phone,0
29,hold charge,0
30,simple little phone use breakage unacceptible,0
31,product ideal people like whose ears sensitive,1
32,unusable moving car freeway speed,0
33,two years left contract hate phone,0
34,car charger well ac charger included make sure never run juice highy recommended,1
35,need least 3 mins get phone book time first turn phone battery life short,0
36,kept well,1
37,poor talk time performance,0
38,case great works fine 680,1
39,worthless product,0
40,great camera thats 2mp pics nice clear great picture quality,1
41,impressed product,0
42,nice headset priced right,1
43,hear garbage audio,0
44,excellent bluetooth headset,1
45,features want,1
46,right mind gonna buy battery,0
47,arguing verizon regarding dropped calls returned phones two days,0
48,case seems well made,1
49,disappointed battery,0
50,loud enough turn like,0
51,good protection make phone bulky,1
52,usable keyboard actually turns pda real world useful machine instead neat gadget,1
53,phone pretty sturdy never large problems,1
54,love thing,1
55,everything fine reasonable price e,1
56,disappointed,0
57,even dropped phone stream submerged 15 seconds still works great,1
58,happy 510 complaints one regarding sound quality end,1
59,buttons bad,0
60,essentially forget microsoft tech support,0
61,really recommend faceplates since looks nice elegant cool,1
62,headphones great find think perhaps best purchase made last several years seriously,1
63,buy different phone,0
64,hold phone particular angle party hear clearly,0
65,one big drawback mp3 player buttons phone front cover let pause skip songs lock seconds,0
66,week later activated suddenly died,0
67,feels comfortable headsets wear glasses gets way sometimes,1
68,great ipods,1
69,device great several situations 1,1
70,mic work,0
71,even bmw 3 series fairly quiet trouble hearing person saying,0
72,great choice,1
73,nice docking station home work,1
74,beautiful phone,1
75,love product,1
76,buy d807 wrongly advertised d807,0
77,great little item,1
78,love phone handy lot features,1
79,purchased within 2 days longer working,0
80,wear everyday holds well,1
81,good bargain,0
82,well packaged arrived time works intended,1
83,battery runs quickly,0
84,item worked great broke 6 months use,0
85,headsets easy use everyone loves,1
86,phone works great,1
87,construction headsets poor,0
88,product excellent works better verizon one boy cheaper,1
89,phone loads super,1
90,product costs much one expect work far better greater ease thing,0
91,made sturdy,1
92,worked great,1
